question,subject,choices,answer,b,a,d,c,'},e,...',i,f,iii,',''',,g,']},}',opportunity,none,cd,},j,da,bd,both,4,db,7,l,cpi,m,ab,ca,abc,bc,structural,v,?',n,{',s,...,human,medium,1,0,ad,all
Suppose that an expansionary fiscal policy leads to a large increase in real output and a small increase in the price level. From this it can be inferred that,high_school_macroeconomics,"['inflation had already impacted the economy before the fiscal stimulus.'
 'the economy initially had some unemployed resources.'
 'aggregate supply decreased.' 'aggregate demand is steeply sloped.']",1,0.9994119057135106,0.00024527269747911607,0.0001397521703990239,6.60142509694618e-05,5.2387367254467775e-05,5.7682609647316575e-06,4.220149873640514e-06,3.286656026269923e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is included in U.S. GDP? I.   The market value of movies made in Africa by U.S. citizens II.   The market value of olive oil made in Italy and sold in the United States. III.   The market value of blue jeans made in the United States and sold in Japan IV.   The market value of wine made in the United States by Canadian citizens,high_school_macroeconomics,['II III and IV only' 'I and III only' 'II and IV only' 'III and IV only'],3,0.004042658278261407,0.0011582409887884503,0.9892535337163006,0.005190875980270751,0.00013833215925918493,3.723159557643359e-05,,1.3696738574579534e-05,8.307491883551199e-06,7.804166394624923e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When both short-run aggregate supply and aggregate demand increase which of the following can be said for certain?,high_school_macroeconomics,"['The price level rises but real GDP falls.'
 'Both the price level and real GDP rise.'
 'The price level rises but the change in real GDP is uncertain.'
 'Real GDP rises but the change in the price level is uncertain.']",3,0.9945218668201046,0.0003336188834971169,0.0027933580436014264,0.0021754694317555985,5.116211281754241e-05,2.1327541680140434e-05,5.392447017915591e-06,4.6124043595269455e-06,,,7.1438316215874965e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tariffs and quotas,high_school_macroeconomics,"['result in lower domestic prices.'
 'sometimes raise and sometimes lower the amount of the product sold domestically.'
 'lower the amount of the product sold domestically.'
 'raise the amount of the product sold domestically.']",2,0.0008545323581407982,0.000334639839194002,0.0009096449602068915,0.9976238950876295,0.00015807266724987822,1.0105247532524286e-05,,,,,,5.580647709340352e-06,3.7175128151641304e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A likely cause of falling Treasury bond prices might be,high_school_macroeconomics,"['expansionary monetary policy.' 'contractionary monetary policy.'
 'a depreciating dollar.'
 'fiscal policy designed to reduce the budget deficit.']",1,0.9951230024775841,0.0023171282541644468,0.0016952472450205557,0.0005170211984361646,8.44013904882714e-05,3.986839387149303e-05,,1.3778148242084514e-05,1.4666762457847811e-05,,,,,7.850552224936315e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Households demand more money as an asset when,high_school_macroeconomics,"['nominal GDP falls.' 'the nominal interest rate falls.'
 'bond prices fall.' 'the supply of money falls.']",1,0.9975929380527251,0.0005183079836207834,0.0010972580099356806,0.0005873198898520767,7.014532431921126e-05,1.4703258732713508e-05,,6.129230131174619e-06,7.393262789885351e-06,,,4.346274979597509e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allocative efficiency,high_school_macroeconomics,"['means that no inferior products will be produced.'
 ""implies that the economy's output is distributed evenly.""
 'means that those who work hardest will get more.'
 'implies that resources are used to produce the goods and services society desires in just the right amounts.']",3,7.482977539870847e-05,8.479324423638456e-05,0.999708212672506,7.482977539870847e-05,3.0109468893787502e-05,2.259663419120776e-06,,,,,,,,,1.0673894196450556e-06,8.312837158617018e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDP measures,high_school_macroeconomics,"[""production within a nation's borders.""
 ""production by a nation's citizens wherever they may be.""
 'income earned by the factors of production plus depreciation and indirect business taxes.'
 '(A) and (C)']",3,0.0037895856958866424,0.004625168435935851,0.9871856124826187,0.003818519539725181,0.0002922214709771494,4.4813613993076975e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Every choice results in a foregone best alternative which economists call the,high_school_macroeconomics,['accounting cost' 'switching cost' 'inferior cost' 'opportunity cost'],1.7053532545837462e-06,0.00012334956010247875,5.473603549515944e-05,0.9995207083836685,0.0002033690434724606,3.118765291900401e-05,3.0879958143786235e-06,,,,,,,,,,,8.400438981889265e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When a nation is operating at the natural rate of unemployment,high_school_macroeconomics,"['there is no cyclical unemployment.' 'the inflation rate is zero.'
 'there is no structural unemployment.'
 'the nation is experiencing a recession.']",0,0.00029490940401616773,0.9962356924621097,0.0008016464917239096,0.002319641037111826,0.00010113060896776383,2.1363165574047093e-05,,,1.0742074256052584e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
