question,subject,choices,answer,a,а,b,aa,<|end|>,.a,(a,_a,c,с,d,_c,-c,(c,_d,.d,e,­d,ci,.c,f,p,б,h,.b,д,g,i,between,(b,bi,bc,(d,ai,ab,ad,1,none,dv,iv,zero,0,one,k,2,77,-a,l,-d,card,(,only,12,s,an,_b,4,t
Which one of the following is the most appropriate definition of a 99% confidence interval?,econometrics,"['99% of the time in repeated samples, the interval would contain the true value of the parameter'
 '99% of the time in repeated samples, the interval would contain the estimated value of the parameter'
 '99% of the time in repeated samples, the null hypothesis will be rejected'
 '99% of the time in repeated samples, the null hypothesis will not be rejected when it was false']",0,0.9999999999911496,8.423463754097673e-12,1.3615261080296915e-13,8.25807328519223e-14,8.25807328519223e-14,5.6756852323827624e-14,3.4424771083183684e-14,3.4424771083183684e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the main difference between the Dickey Fuller (DF) and Phillips-Perron (PP) approaches to unit root testing?,econometrics,"['ADF is a single equation approach to unit root testing while PP is a systems approach'
 'PP tests reverse the DF null and alternative hypotheses so that there is stationarity under the null hypothesis of the PP test'
 'The PP test incorporates an automatic correction for autocorrelated residuals in the test regression'
 'PP tests have good power in small samples whereas DF tests do not.']",2,,,4.752193062685748e-13,,,,,,0.9999999999994295,5.00877463775349e-14,2.0879679116084094e-14,8.703945206569987e-15,8.703945206569987e-15,6.778639342687308e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If there were a leverage effect in practice, what would be the shape of the news impact curve for as model that accounted for that leverage?",econometrics,"['It would rise more quickly for negative disturbances than for positive ones of the same magnitude'
 'It would be symmetrical about zero'
 'It would rise less quickly for negative disturbances than for positive ones of the same magnitude'
 'It would be zero for all positive disturbances']",0,0.999999999981152,1.783247290517995e-11,1.9810087977194382e-13,2.5436656469537833e-13,1.7482341279802376e-13,1.7482341279802376e-13,9.357622967283531e-14,1.2015425729773017e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements is false concerning the linear probability model?,econometrics,"['There is nothing in the model to ensure that the estimated probabilities lie between zero and one'
 'Even if the probabilities are truncated at zero and one, there will probably be many observations for which the probability is either exactly zero or exactly one'
 'The error terms will be heteroscedastic and not normally distributed'
 'The model is much harder to estimate than a standard regression model with a continuous dependent variable']",3,1.3615261076924818e-13,,1.8795288159908043e-12,,,,,,1.4637785136989088e-12,,0.9999999999960619,,,,1.7482341277610779e-13,1.5428112027418329e-13,7.287724093693784e-14,5.6756852309770634e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements concerning the regression population and sample is FALSE?,econometrics,"['The population is the total collection of all items of interest'
 'The population can be infinite'
 'In theory, the sample could be larger than the population'
 'A random sample is one where each individual item from the population is equally likely to be drawn.']",2,,,1.1399918529510076e-12,,,,,,0.9999999999981891,3.701011678289616e-13,1.3615261079781656e-13,3.44247710818809e-14,3.9008376098612957e-14,,,,,,5.675685232167971e-14,3.44247710818809e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements is INCORRECT concerning a comparison of the Box-Pierce Q and the Ljung-Box Q* statistics for linear dependence in time series?,econometrics,"['Asymptotically, the values of the two test statistics will be equal'
 'The Q test has better small-sample properties than the Q*'
 'The Q test is sometimes over-sized for small samples'
 'As the sample size tends towards infinity, both tests will show a tendency to always reject the null hypothesis of zero autocorrelation coefficients.']",1,1.658678357917893e-12,,0.9999999999938274,,,,,,3.511422111267264e-12,,7.835041780358022e-13,,,,,,,,,,1.060357598515447e-13,5.008774634834825e-14,4.4202281009860215e-14,1.8426252136167306e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A parsimonious model is one that,econometrics,"['Includes too many variables'
 'Includes as few variables as possible to explain the data'
 'Is a well-specified model' 'Is a mis-specified model']",0,5.564246010990594e-16,,0.9999999999999589,,,,,,3.0379753852938877e-14,,3.6283441778688025e-15,,,,,,,,,,3.2020024984800685e-15,6.305116759837251e-16,1.7139084314578173e-15,,8.095930174814888e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is NOT a feature of continuously compounded returns (i.e. log-returns)?,econometrics,"['They can be interpreted as continuously compounded changes in the prices'
 'They can be added over time to give returns for longer time periods'
 'They can be added across a portfolio of assets to give portfolio returns'
 'They are usually fat-tailed']",2,,,7.835041782085191e-13,,,,,,6.224144620541112e-11,,0.9999999999364582,,,,2.8823507923484013e-13,1.748234127606308e-13,2.087967910852004e-14,1.4350379595881668e-14,,,,,,,,1.842625214022922e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Which of the following features of financial asset return time-series could be captured using a standard GARCH(1,1) model?

i) Fat tails in the return distribution


ii) Leverage effects


iii) Volatility clustering


iv) Volatility affecting returns",econometrics,"['(ii) and (iv) only' '(i) and (iii) only' '(i), (ii), and (iii) only'
 '(i), (ii), (iii), and (iv)']",1,1.5530365305932214e-06,,0.9997022262381511,,,,,,0.00029595637641508714,,2.3816586565808618e-07,,,,,,1.185758616520222e-08,,,,4.362162172096819e-09,,,,,,5.6011271006861215e-09,4.362162172096819e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Consider the estimation of a GARCH-M model. If the data employed were a time-series of daily corporate bond percentage returns, which of the following would you expect the value of the GARCH-in-mean parameter estimate to be?",econometrics,['Less than -1' 'Between -1 and 0' 'Between 0 and 1' 'Bigger than 1'],2,,,6.560200167789289e-12,,,,,,0.9999999999930066,3.44247710827871e-14,2.882350793284242e-13,3.900837609963982e-14,,4.420228103395582e-14,,,,,,1.4350379600540942e-14,,,,,,,,,1.2664165548390546e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
