question,subject,choices,answer,d,b,­d,_d,.d,c,<|end|>,д,f,a,.b,p,б,bi,а,e,1,an,.a,aa,_a,(a,с,-c,ci,.c,_c,(b,du,(c,g,-d,k,h,-a,for,(d,ab,_b,-b,i,á,none,on,not,t
Which of the following best describes the balance the Supreme Court has struck between the establishment clause and the free-exercise clause?,high_school_government_and_politics,"['Freedom of speech is protected except in certain situations, such as yelling ""fire"" in a crowded theater.'
 'Once a church has been recognized by the federal government, its tax-exempt status can never be revoked.'
 'Once Congress has created an administrative agency, that agency can be dissolved only by a constitutional amendment.'
 'State-sponsored prayer during school hours is prohibited, but voluntary prayer by student groups before school is allowed.']",3,0.9999999999997401,9.357622968155177e-14,5.6756852322172505e-14,5.008774637476853e-14,3.037975385220742e-14,1.8426252145886783e-14,7.681204684639814e-15,2.8257572869087595e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements does NOT accurately describe voting behavior in the United States?,high_school_government_and_politics,"['Registered voters between the ages of 35 and 45 are more likely to vote than are those under the age of 21.'
 'A registered voter who has attained his or her General Educational Development (GED) is less likely to vote than a high school dropout.'
 'Registered voters are more likely to vote in general elections than they are in primary elections.'
 'More women than men have voted in every presidential election since 1980.']",1,2.365977608728944e-14,0.9999999999997974,,,,1.361526107856122e-13,,,1.4350379598876853e-14,1.266416554692199e-14,5.982128222741068e-15,5.2792096274328834e-15,4.1114525918428285e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following plays the most significant role in forming a child's political views?,high_school_government_and_politics,"['The geographical area in which the child grows up' ""The child's family""
 'The media to which the child is exposed' ""The child's religion""]",1,4.420228103165304e-14,0.9999999999973752,,,,2.4133627715733984e-12,8.703945205789371e-15,,2.0879679114211493e-14,1.2015425730478241e-13,,,9.862862045518646e-15,7.68120468437516e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What power was granted to the states by the Articles of Confederation but not by the Constitution?,high_school_government_and_politics,"['Coining money' 'Authorizing constitutional amendments'
 'Having representation in Congress'
 'Appealing to the president to adjudicate disputes']",0,,1.4637785136977196e-12,,,,,1.658678358429029e-12,,,0.9999999999473469,,,,,4.847368704852287e-11,4.1937956571527616e-13,2.8823507926012326e-13,1.7482341277596577e-13,1.7482341277596577e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,
The primary function of political action committees (PACs) is to,high_school_government_and_politics,"['contribute money to candidates for election'
 'coordinate local get-out-the-vote campaigns'
 'promote the defeat of incumbents in the federal and state legislatures'
 'organize protest demonstrations and other acts of civil disobedience']",0,,1.5428112031160165e-13,,,,,1.20154257311809e-13,,,0.9999999999943634,,,,,5.109089027812074e-12,,,,8.258073285149811e-14,9.357622968379992e-14,5.008774637597188e-14,2.6810038676499588e-14,,,,,,,,,,,,,,,,,,,,,,,,
Federal judges are subject to which of the following disciplinary actions?,high_school_government_and_politics,"['Impeachment, conviction, and removal from office by Congress'
 'Removal from office by the appointing president'
 'Removal from office by the president-elect'
 'Recall elections by citizens residing in the district over which the judge has jurisdiction']",0,,3.2661313420766314e-13,,,,,1.3615261077933417e-13,,,0.9999999999654453,,,,,3.3315445414413605e-11,,,,1.542811202856122e-13,4.752193061736922e-13,8.258073283758696e-14,6.431393940052321e-14,,,,,,,,,,,,,,,,,,,,,,,,
The amount of access cabinet secretaries have to the president is most likely to be controlled by the,high_school_government_and_politics,"['vice president' ""president's chief of staff"" 'national security advisor'
 'chair of the Federal Reserve Board']",1,4.658886144958385e-15,0.9999999999999335,,,,3.900837610059297e-14,,,7.68120468496301e-15,,3.628344177934109e-15,3.202002498537701e-15,6.778639342598139e-15,1.51251888210237e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following defines the salience of a political issue?,high_school_government_and_politics,"['The amount of coverage the issue receives in the major news media'
 'The degree to which public opinion on the issue is likely to shift quickly'
 'The number of people affected by the issue'
 'The importance of the issue to a particular individual or group']",3,0.9999999999975454,1.4637785139978526e-12,1.117608686991643e-14,8.258073284833476e-14,4.420228103254476e-14,6.101936677071506e-13,,,,2.2447770548245935e-13,,,,,,1.8426252145623634e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voters who rely exclusively on television network news coverage of national elections are most likely to be aware of,high_school_government_and_politics,"['which special interest groups have endorsed which candidates'
 ""the relative strength of each candidate's support, as indicated by public opinion polls""
 ""candidates' positions on international issues""
 ""candidates' positions on domestic issues""]",1,3.26613134205663e-13,0.9999999999985968,,,,1.0060392790582093e-12,,,2.681003867181912e-14,1.435037959812727e-14,6.778639341292367e-15,9.862862044373575e-15,1.2664165546260488e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which principle was established by the Supreme Court's decision in Marbury v. Madison?,high_school_government_and_politics,"['One man, one vote' 'Separate but equal' 'Judicial review'
 'Right to privacy']",2,2.0879679115777628e-14,3.26613134268081e-13,,,,0.9999999999994861,,,,,,,,,,,,,,,,,1.0603575991177645e-13,2.3659776090575138e-14,1.4350379600869727e-14,1.117608687052926e-14,1.117608687052926e-14,,,,,,,,,,,,,,,,,,,
